S. No.,Date,Location,Inside / Outside,Mortality / Seizure,State,Sex,Age
81,08/22/2022,"Pench,Navegaon Khairi reservoir, Compartment No 556, RF, Bazarkund beat, Chorbahuli round, Paoni range",Inside Tiger Reserve,Mortality,Maharashtra,Male,Adult
80,07-07-2022,"Laksar area, Haridwar",Outside Tiger  Reserve,Seizure,Uttarakhand,Male,NA
79,07-07-2022,"Laksar area, Haridwar",Outside Tiger Reserve,Seizure,Uttarakhand,Male,NA
78,08-10-2022,"Vihirgaon Round,Chanakha Beat,Compt. No. 160, Reserve Forest, Rajura Range, ,Central Chanda Division",Outside Tiger Reserve,Mortality,Maharashtra,Male,Adult
77,08-08-2022,"NSTR,Near Budugulavagu location, Compt No 659, ,Velgode (north) beat, Velgode section, Velgode ran",Inside Tiger Reserve,Mortality,Andhra Pradesh,Female,Adult
76,07/30/2022,"Nagarhole,Abbur beat, Chennangi section,, Anechowkur Wildlife Range",Inside Tiger Reserve,Mortality,Karnataka,Male,Adult
75,07/25/2022,"CPT -15, Mepalli – Srimangala WL Range,Birunani village, Brahmagiri Wildlife Sanctuary, Madikeri Wildlife Division, Kodagu circle",Inside Forest Reserve,Mortality,Karnataka,Male,Adult
74,07/15/2022,"Bandhavgarh,Compartment No 239, Mahaman beat, Khitauli",Inside Tiger Reserve,Mortality,Madhya Pradesh,Male,Adult
73,07-12-2022,"Parambikulam Tiger Reserve,Parambiyar section, Parambikulam range, Wildlife Circle, Northern region",Inside Tiger Reserve,Mortality,Kerala,Female,Adult
72,07-04-2022,"Compartment No RF-526, Bhadsapani,Village Beli, Beli beat, Pali range",Outside Tiger Reserve,Mortality,Madhya Pradesh,Male,Adult
71,07-02-2022,"Panna,CN 179, Mukki beat, Mukki Range, Mukki circle",InsideTiger Reserve,Mortality,Madhya Pradesh,Female,Cub
70,06/28/2022,"1st Rudraguppe village, V Badaga beat, V Badaga section, Poannampete Range,,Virajpete territorial division, Kodagu circle",Outside Tiger Reserve,Mortality,Karnataka,Male,Adult
